1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Jun-2021
44806.0,45062.0,45316.0,46069.0,46716.0,46121.0,47090.0,46977.0,46696.0,47707.0,47470.0,48038.0,48681.0,49301.0,50189.0,50215.0,51909.0,52466.0,53238.0,54352.0,54108.0,64581.0,33454.0
2708.0,2914.0,2974.0,3030.0,3180.0,3051.0,3168.0,3354.0,3463.0,3494.0,3618.0,3728.0,3849.0,3912.0,3997.0,4128.0,4316.0,4494.0,4411.0,4453.0,4613.0,5161.0,2387.0
40050.0,40500.0,41058.0,42816.0,43392.0,43198.0,45827.0,46365.0,45554.0,45823.0,45816.0,46762.0,48381.0,49549.0,50534.0,51538.0,54299.0,56645.0,57758.0,59282.0,60236.0,76143.0,39713.0
27925.0,28217.0,27759.0,28513.0,27918.0,27528.0,28055.0,27901.0,28191.0,29322.0,28673.0,28916.0,29653.0,30117.0,30437.0,30467.0,31617.0,31756.0,32588.0,32336.0,32888.0,38623.0,19427.0
229380.0,229551.0,234044.0,234565.0,239371.0,232525.0,237037.0,237126.0,233720.0,234766.0,232736.0,234012.0,239942.0,242554.0,248359.0,245929.0,259206.0,262240.0,268189.0,268818.0,269831.0,319468.0,173227.0
27114.0,27288.0,28294.0,29210.0,29506.0,28309.0,29627.0,29521.0,29993.0,31274.0,31173.0,31465.0,32563.0,33133.0,33712.0,35237.0,36349.0,37530.0,38063.0,38526.0,39390.0,46804.0,22337.0
29446.0,30129.0,29827.0,30122.0,29627.0,29314.0,29467.0,29260.0,28651.0,28794.0,28585.0,28692.0,29526.0,29316.0,29632.0,29860.0,30535.0,30543.0,31312.0,31230.0,31745.0,37890.0,17011.0
6666.0,6875.0,7112.0,6861.0,7070.0,7143.0,7472.0,7204.0,7327.0,7622.0,7534.0,7706.0,7845.0,7875.0,7967.0,8260.0,8582.0,8874.0,9178.0,9433.0,9302.0,10947.0,5535.0
6076.0,6001.0,5951.0,5851.0,5573.0,5454.0,5483.0,5344.0,5188.0,5140.0,4834.0,4672.0,4589.0,4650.0,4719.0,4723.0,4871.0,5037.0,4965.0,5008.0,4927.0,,
163224.0,164395.0,167269.0,167814.0,168657.0,169008.0,170791.0,170066.0,168096.0,170703.0,169924.0,173791.0,173976.0,177291.0,181112.0,185956.0,191737.0,197313.0,203636.0,205426.0,207002.0,240000.0,123695.0
62028.0,63870.0,64485.0,65449.0,66478.0,65818.0,66736.0,67808.0,68331.0,69640.0,69712.0,71263.0,71248.0,72847.0,75088.0,76887.0,79942.0,81428.0,83098.0,85202.0,85814.0,102955.0,53466.0
8270.0,8290.0,8394.0,8801.0,8978.0,9030.0,9136.0,9432.0,9495.0,9501.0,9914.0,9617.0,9923.0,10274.0,10505.0,10767.0,11053.0,10913.0,11390.0,11415.0,11559.0,11940.0,6000.0
9579.0,9563.0,9753.0,9923.0,10380.0,10028.0,10556.0,10613.0,10822.0,10962.0,11098.0,11429.0,12027.0,11998.0,12434.0,12613.0,13026.0,13366.0,14011.0,14261.0,14430.0,16575.0,8068.0
108436.0,106634.0,105430.0,106667.0,105325.0,102670.0,103974.0,102171.0,100503.0,103471.0,100056.0,99931.0,101906.0,102433.0,103401.0,105293.0,106872.0,107020.0,109721.0,110022.0,109096.0,132452.0,60628.0
55303.0,55469.0,55198.0,55396.0,55968.0,54211.0,55675.0,55622.0,54000.0,56752.0,55973.0,56743.0,58202.0,59332.0,60716.0,60940.0,62713.0,63473.0,65597.0,65693.0,66001.0,78517.0,37018.0
28411.0,28060.0,27791.0,27978.0,28062.0,26897.0,27811.0,27362.0,27221.0,28541.0,27544.0,27745.0,28184.0,28389.0,28948.0,29190.0,29600.0,29538.0,30530.0,30367.0,30867.0,35932.0,15831.0
24472.0,24717.0,24647.0,25021.0,24593.0,23818.0,24682.0,24553.0,24491.0,24975.0,24024.0,24502.0,25116.0,25145.0,25414.0,25793.0,26664.0,26245.0,27063.0,27537.0,27682.0,32207.0,15220.0
39321.0,39504.0,39861.0,40697.0,40241.0,38646.0,40223.0,40102.0,40090.0,41329.0,41380.0,41983.0,42626.0,43664.0,43759.0,44838.0,46564.0,47827.0,48212.0,48707.0,48990.0,56012.0,28169.0
41238.0,41138.0,41757.0,41984.0,42719.0,42215.0,44355.0,40045.0,39966.0,41220.0,40282.0,40667.0,40890.0,42320.0,43270.0,43869.0,43716.0,44306.0,45804.0,46048.0,45938.0,56667.0,27211.0
12261.0,12354.0,12421.0,12694.0,12540.0,12443.0,12868.0,12294.0,12493.0,12541.0,12594.0,12750.0,13001.0,12870.0,13547.0,13510.0,14479.0,14182.0,14676.0,14715.0,15065.0,15780.0,8034.0
43089.0,43753.0,43839.0,43970.0,44499.0,43232.0,43892.0,43582.0,43757.0,43892.0,43843.0,43325.0,43745.0,44477.0,45689.0,45867.0,47247.0,48824.0,49926.0,50568.0,50800.0,59931.0,29339.0
55840.0,56681.0,56754.0,56928.0,56291.0,54511.0,53874.0,53450.0,52917.0,53518.0,52308.0,52583.0,53710.0,53177.0,54567.0,55200.0,57806.0,56961.0,58803.0,59152.0,58630.0,67905.0,31353.0
87232.0,86953.0,86424.0,87795.0,86728.0,85169.0,86867.0,86042.0,86721.0,88445.0,86455.0,88021.0,89508.0,89901.0,92408.0,93914.0,95140.0,96231.0,97602.0,98903.0,99084.0,117122.0,56010.0
38537.0,37690.0,37735.0,38510.0,37620.0,37034.0,37535.0,37028.0,37138.0,38499.0,37851.0,38972.0,39820.0,40016.0,40987.0,41445.0,42800.0,43078.0,44371.0,44745.0,45514.0,52192.0,23828.0
28185.0,28654.0,28259.0,28853.0,28489.0,27871.0,29196.0,28564.0,28255.0,28984.0,28275.0,28965.0,29278.0,29544.0,30703.0,30557.0,31783.0,31741.0,32280.0,32301.0,32964.0,40208.0,19779.0
55931.0,54865.0,54982.0,55940.0,55582.0,53950.0,54656.0,54681.0,54166.0,56578.0,54263.0,55281.0,55848.0,56094.0,57444.0,58320.0,59871.0,59873.0,61876.0,63117.0,62401.0,73590.0,34864.0
8128.0,8096.0,8265.0,8506.0,8467.0,8094.0,8528.0,8472.0,8624.0,8913.0,8730.0,8827.0,9115.0,8976.0,9511.0,9381.0,9942.0,9905.0,10200.0,9992.0,10402.0,11969.0,5532.0
15579.0,14992.0,15174.0,15738.0,15465.0,14657.0,14963.0,14899.0,15263.0,15461.0,14810.0,15171.0,15476.0,15659.0,15754.0,15978.0,16740.0,16217.0,16878.0,16904.0,16970.0,19449.0,8829.0
15082.0,15261.0,16285.0,16927.0,17858.0,17929.0,19029.0,18872.0,18687.0,19335.0,19224.0,19623.0,20343.0,20785.0,21468.0,21793.0,22879.0,23902.0,24657.0,24715.0,25586.0,30285.0,15521.0
9537.0,9697.0,9815.0,9853.0,9708.0,10111.0,10194.0,10060.0,10303.0,10268.0,10100.0,10201.0,10823.0,10730.0,10897.0,11516.0,11984.0,12203.0,12504.0,12774.0,12744.0,13791.0,6772.0
73981.0,74800.0,74710.0,74009.0,73689.0,71371.0,71963.0,70356.0,69662.0,70026.0,68277.0,69495.0,70558.0,70534.0,71403.0,71316.0,72271.0,73155.0,74846.0,75765.0,75010.0,96825.0,43576.0
13676.0,13425.0,14129.0,14344.0,14805.0,14298.0,14983.0,15296.0,15482.0,16005.0,15643.0,15931.0,16452.0,16710.0,16805.0,17579.0,17685.0,18365.0,18673.0,19007.0,19512.0,23850.0,11685.0
